CSDS 302,Discrete Mathematics,"A general introduction to basic mathematical terminology and the techniques of abstract mathematics in the context of discrete mathematics. Topics introduced are mathematical reasoning, Boolean connectives, deduction, mathematical induction, sets, functions and relations, algorithms, graphs, combinatorial reasoning.Offered as CSDS 302, ECSE 302 and MATH 304.Prereq: MATH 122 or MATH 124 or MATH 126."
CSDS 305,"Files, Indexes and Access Structures for Big Data","Database management become a central component of a modern computing environment, and, as a result, knowledge about database systems has become an essential part of education in computer science and data science. This course is an introduction to the nature and purpose of database systems, fundamental concepts for designing, implementing and querying a database and database architectures.Objectives:-An expert knowledge of basic data structures, basic searching, sorting, methods,algorithm techniques, (such as greedy and divide and conquer)-In-depth knowledge on Search and Index Structures for large, heterogeneous dataincluding multidimensional data, high dimensional data and data in metric spaces(e.g., sequences, images), on different search methods (e.g. similarity searching,partial match, exact match), and on dimensionality reduction techniques.Prereq: DSCI 234 or EECS 233."
CSDS 310,Algorithms,"Fundamentals in algorithm design and analysis. Loop invariants, asymptotic notation, recurrence relations, sorting algorithms, divide-and-conquer, dynamic programming, greedy algorithms, basic graph algorithms.Offered as CSDS 310 and CSDS 310N.Prereq: (Computer Science Major/Minor or Data Science Major) and (EECS 302 or MATH 304) and (EECS 233 or DSCI 234 with a C or higher)."
CSDS 310N,Algorithms,"Fundamentals in algorithm design and analysis. Loop invariants, asymptotic notation, recurrence relations, sorting algorithms, divide-and-conquer, dynamic programming, greedy algorithms, basic graph algorithms.Offered as CSDS 310 and CSDS 310N.Prereq: (EECS 302 or MATH 304) and EECS 233 with a C or higher."
CSDS 312,Introduction to Data Science Systems,"An introduction to the software and hardware architecture of data science systems, with an emphasis on Operating Systems and Computer Architecture that are relevant to Data Sciences systems. At the end of the course, the student should understand the principles and architecture of storage systems, file systems (especially, HDFS), memory hierarchy, and GPU. The student should have carried out projects in these areas, and should be able to critically compare various design decisions in terms of capability and performance.Prereq: DSCI 234."
CSDS 313,Introduction to Data Analysis,"In this class we will give a broad overview of data analysis techniques, coveringtechniques from data mining, machine learning and signal processing.  Students will also learn about probabilistic representations, how to conduct an empirical study and support empirical hypotheses through statistical tests, and visualize the results.Course objectives:-Expose students to different analysis approaches.-Understand probabilistic representations and inference mechanisms.-Understand how to create empirical hypotheses and how to test them.Prereq: EECS 340 and DSCI 234."
CSDS 314,Computer Architecture,"This course provides students the opportunity to study and evaluate a modern computer architecture design.  The course covers topics in fundamentals of computer design, performance, cost, instruction set design, processor implementation, control unit, pipelining, communication and network, memory hierarchy, computer arithmetic, input-output, and an introduction to RISC and super-scalar processors.Offered as CSDS 314 and ECSE 314.Prereq: EECS 281."
CSDS 315,Scalable Parallel Data Analysis,"This course provides an introduction to scalable and parallel data analysis using the most common frameworks and programming tools in the age of big data. Covered topics include parallel programming models, parallel hardware architectures, multi-threaded, multi-core programming, cluster computing and GPU programming. The course is designed to provide a heavily hands-on experience with several programming assignments.Prereq: DSCI 342."
CSDS 325,Computer Networks I,"An introduction to computer networks and the Internet.  Applications: http, ftp, e-mail, DNS, socket programming.  Transport: UDP, TCP, reliable data transfer, and congestion control.  Network layer: IP, routing, and NAT.  Link layer: taxonomy, Ethernet, 802.11.Offered as CSDS 325 and CSDS 325N.Prereq: Computer Science Major with minimum Junior Standing and (CSDS 233 or ECSE 233 or EECS 233) with a C or higher."
CSDS 325N,Computer Networks I,"An introduction to computer networks and the Internet.  Applications: http, ftp, e-mail, DNS, socket programming.  Transport: UDP, TCP, reliable data transfer, and congestion control.  Network layer: IP, routing, and NAT.  Link layer: taxonomy, Ethernet, 802.11.Offered as CSDS 325 and CSDS 325N.Prereq: Minimum Junior Standing and (CSDS 233 or ECSE 233 or EECS 233) with a C or higher."
CSDS 335D,Data Mining for Big Data,"With the unprecedented rate at which data is being collected today in almost all fields of human endeavor, there is an emerging economic and scientific need to extract useful information from it. Data mining is the process of automatic discovery of patterns, changes, associations and anomalies in massive databases, and is a highly interdisciplinary field representing the confluence of several disciplines, including database systems, data warehousing, machine learning, statistics, algorithms, data visualization, and high-performance computing. This course is an introduction to the commonly used data mining techniques.In the first part of the course, students will develop a basic understanding of the basic concepts in data mining such as frequent pattern mining, association rule mining, basic techniques for data preprocessing such as normalization, regression, and classic matrix decomposition methods such as SVD, LU, and QR decompositions. In the second part of the course, students will develop a basic understanding of classification and clustering and be able to apply classic methods such as k-means, hierarchical clustering methods, nearest neighbor methods, association based classifiers. In the third part of the course, students will have a chance to study more advanced data mining applications such as feature selection in high-dimensional data, dimension reduction, and mining biological datasets.Prereq: DSCI 234 and DSCI 343."
CSDS 337,Compiler Design,Design and implementation of compilers and other language processors. Scanners and lexical analysis; regular expressions and finite automata; scanner generators; parsers and syntax analysis; context free grammars; parser generators; semantic analysis; intermediate code generation; runtime environments; code generation; machine independent optimizations; data flow and dependence analysis. There will be a significant programming project involving the use of compiler tools and software development tools and techniques.Offered as CSDS 337 and ECSE 337.Prereq: (CSDS 233 or ECSE 233 or EECS 233) and (CSDS 281 or ECSE 281 or EECS 281).
CSDS 338,Intro to Operating Systems and Concurrent Programming,"Intro to OS: OS Structures, processes, threads, CPU scheduling, deadlocks, memory management, file system implementations, virtual machines, cloud computing. Concurrent programming: fork, join, concurrent statement, critical section problem, safety and liveness properties of concurrent programs, process synchronization algorithms, semaphores, monitors.  UNIX systems programming: system calls, UNIX System V IPCs, threads, RPCs, shell programming.Offered as CSDS 338, ECSE, 338, CSDS 338N and ECSE 338N.Prereq: Computer Science Major or Minor and (CSDS 233 or ECSE 233 or EECS 233) with a C or higher."
CSDS 338N,Intro to Operating Systems and Concurrent Programming,"Intro to OS: OS Structures, processes, threads, CPU scheduling, deadlocks, memory management, file system implementations, virtual machines, cloud computing. Concurrent programming: fork, join, concurrent statement, critical section problem, safety and liveness properties of concurrent programs, process synchronization algorithms, semaphores, monitors.  UNIX systems programming: system calls, UNIX System V IPCs, threads, RPCs, shell programming.Offered as CSDS 338, ECSE, 338, CSDS 338N and ECSE 338N.Prereq: (CSDS 233 or ECSE 233 or EECS 233) with a C or higher."
CSDS 339,Web Data Mining,"Web crawling technology, web search and information extraction, unsupervised and semi-supervised learning techniques and their application to web data extraction, social network analysis, various pagerank algorithms, link analysis, web resource discovery, web, resource description framework (RDF), XML, Web Ontology Language (OWL).Prereq: (CSDS 338 or ECSE 338 or EECS 338) and (CSDS 341 or EECS 341) and (CSDS 302 or EECS 302 or MATH 304)."
CSDS 340D,Machine Learning for Big Data,"Machine learning is a sub-field of Artificial Intelligence that is concerned with the design and analysis of algorithms that learn and improve with experience, While the broad aim behind research in this area is to build systems that can simulate or even improve on certain aspects of human intelligence, algorithms developed in this area have become very useful in analyzing and predicting the behavior of complex systems. Machine learning algorithms have been used to guide diagnostic systems in medicine, recommend interesting products to customers in e-commerce, play games at human championship levels, and solve many other very complex problems. This course is an introduction to algorithms for machine learning and their implementation in the context of big data. We will study different learning settings, the different algorithms that have been developed for these settings, and learn about how to implement these algorithms and evaluate their behavior in practice. We will also discuss dealing with noise, missing values, scalability properties and talk about tools and libraries available for these methods.At the end of the course, you should be able to:--Understand when to use machine learning algorithms;--Understand, represent and formulate the learning problem;--Apply the appropriate algorithm(s) or tools, with an understanding of the tradeoffs involved including scalability and robustness;--Correctly evaluate the behavior of the algorithm when solving the problem.Prereq: DSCI 234 and DSCI 343."
CSDS 341,Introduction to Database Systems,"Relational model, ER model, relational algebra and calculus, SQL, OBE, security, views, files and physical database structures, query processing and query optimization, normalization theory, concurrency control, object relational systems, multimedia databases, Oracle SQL server, Microsoft SQL server.Offered as CSDS 341 and CSDS 341N.Prereq: Computer Science Major and (EECS 302 or MATH 304) and EECS 233 with a C or higher."
CSDS 341D,Introduction to Databases: DS Major,"Database management become a central component of a modern computing environment, and, as a result, knowledge about database systems has become an essential part of education in computer science and data science. This course is an introduction to the nature and purpose of database systems, fundamental concepts for designing, implementing and querying a database and database architectures. Weeks 1-6 provide an overview of basic database systems concepts including database design, database systems architecture, and database querying, using relational model and SQL as query language. Weeks 7-10 Objects, Semi structured data, XML and RDF basics.Weeks 11-14 provide an overview of more advanced topics including Database System Architectures (Parallel Databases and Distributed Databases), and Data Warehousing and Information Retrieval.Students cannot receive credit for both CSDS341 and CSDS341D.Prereq: DSCI 234 or EECS 233."
CSDS 341N,Introduction to Database Systems,"Relational model, ER model, relational algebra and calculus, SQL, OBE, security, views, files and physical database structures, query processing and query optimization, normalization theory, concurrency control, object relational systems, multimedia databases, Oracle SQL server, Microsoft SQL server.Offered as CSDS 341 and CSDS 341N.Prereq: (EECS 302 or MATH 304) and EECS 233 with a C or higher."
CSDS 343,Theoretical Computer Science,"Introduction to different classes of automata and their correspondence to different classes of formal languages and grammars, computability, complexity and various proof techniques.  Offered as CSDS 343 and MATH 343.Prereq: EECS 302 or MATH 304."
CSDS 344,Computer Security,"General types of security attacks; approaches to prevention; secret key and public key cryptography; message authentication and hash functions; digital signatures and authentication protocols; information gathering; password cracking; spoofing; session hijacking; denial of service attacks; buffer overruns; viruses, worms, etc., principles of secure software design, threat modeling; access control; least privilege; storing secrets; socket security; firewalls; intrusions; auditing; mobile security. Recommended preparation: EECS/CSDS/ECSE 132, EECS/CSDS 293, EECS/CSDS 325 and EECS/CSDS 338.Offered as CSDS 344 and CSDS 444."
CSDS 345,Programming Language Concepts,"This course examines the four main programming paradigms: imperative, object-oriented, functional, and logical. It is assumed that students will come to the course with significant exposure to object-oriented programming and some exposure to imperative programming.  The course will teach the functional paradigm in depth, enhance the students' knowledge of the object-oriented and imperative paradigms, and introduce the logical paradigm. The course will explore language syntax, semantics, names/scopes, types, expressions, assignment, subprograms, abstraction and inheritance.  This exploration will have several forms. Students will study the programming language concepts at a theoretical level, use the concepts in functional language programming, and implement the concepts by designing language interpreters.Offered as CSDS 345 and CSDS 345N.Prereq: Computer Science Major and (EECS 302 or MATH 304) and EECS 233 with a C or higher."
CSDS 345N,Programming Language Concepts,"This course examines the four main programming paradigms: imperative, object-oriented, functional, and logical. It is assumed that students will come to the course with significant exposure to object-oriented programming and some exposure to imperative programming.  The course will teach the functional paradigm in depth, enhance the students' knowledge of the object-oriented and imperative paradigms, and introduce the logical paradigm. The course will explore language syntax, semantics, names/scopes, types, expressions, assignment, subprograms, abstraction and inheritance.  This exploration will have several forms. Students will study the programming language concepts at a theoretical level, use the concepts in functional language programming, and implement the concepts by designing language interpreters.Offered as CSDS 345 and CSDS 345N.Prereq: (EECS 302 or MATH 304) and EECS 233 with a C or higher."
CSDS 356,Data Privacy,"Introduction to privacy, economics and incentives, crypto-based solution for privacy, hiding data from the database user, hiding access patterns from the database owner, anonymous routing and TOR, privacy in online social networks, privacy in cellular and Wi-Fi networks, location privacy, privacy in e-cash systems, privacy in e-voting, genomic privacy.Offered as CSDS 356 and CSDS 456.Prereq: (EECS 132 and EECS 233 and any STAT course) or (Graduate student in Computing &amp; Info Science or Computer Engineering)."
CSDS 366,Computer Graphics,"Theory and practice of computer graphics: object and environment representation including coordinate transformations image extraction including perspective, hidden surface, and shading algorithms; and interaction.  Covers a wide range of graphic display devices and systems with emphasis in interactive shaded graphics.Offered as CSDS 366, ECSE 366, CSDS 466 and ECSE 466.Prereq: EECS 233."
CSDS 373,Modern Robot Programming,"The goal of this course is to learn modern methods for building up robot capabilities using the Robot Operating System (ROS). Through a sequence of assignments, students learn how to write software to control both simulated and physical robots. Material includes: interfacing software to robot I/O; path and trajectory planning for robot arms; object identification and localization from 3-D sensing; manipulation planning; and development of graphical interfaces for supervisory robot control. Laboratory assignments are scheduled in small groups to explore implementations on specific robots.  Graduate students will also perform an independent project.Offered as CSDS 373, ECSE 373, CSDS 473 and ECSE 473."
CSDS 376,Mobile Robotics,"Design of software systems for mobile robot control, including: motion control; sensory processing; localization and mapping; mobile-robot planning and navigation; and implementation of goal-directed behaviors.  The course has a heavy lab component involving a sequence of design challenges and competitions performed in teams.Offered as CSDS 376 and ECSE 376.Prereq:  EECS 373 or EECS 473."
CSDS 377,Introduction to Connected Devices,"Introduction to Connected Devices (e.g., Internet of Things).  Undergraduates work in pairs to build a complete connected-device system, an embedded device with wireless networking, cloud and web, and mobile, and then develop hands-on experience with systems-level aspects of the connected-device system, including analytics, remote firmware update, load testing, and essential security.  Students learn about current architectures, languages, and technologies, such as Pub/Sub (MQTT), Python, Objective-C, Python Django, JavaScript, HTML/CSS, and Bluetooth Low Energy.Offered as CSDS 377 and ECSE 377."
CSDS 390,Advanced Game Development Project,"This game development project course will bring together an inter-professional group of students in the fields of engineering, computer science, and art to focus on the design and development of a complete, fully functioning computer game as an interdisciplinary team. The student teams are given complete liberty to design their own fully functional games from their original concept to a playable game published in an online marketplace. Student teams will experience the entire game development cycle as they execute their projects. Responsibilities include creating a game idea, writing a story, developing the artwork, designing characters, implementing music and sound effects, programming and testing the game, and publishing the final project. Students enrolled in 487 will develop a healthcare or education virtual environment or video game in collaboration with a mentor who has expertise in the chosen area.Offered as CSDS 390, ECSE 390, and ECSE 487.Prereq: EECS 233 and EECS 290."
CSDS 391,Introduction to Artificial Intelligence,"This course is an introduction to artificial intelligence.  We will study the concepts that underlie intelligent systems.  Topics covered include problem solving with search, constraint satisfaction, adversarial games, knowledge representation and reasoning using propositional and first order logic, reasoning under uncertainty, introduction to machine learning, automated planning, reinforcement learning and natural language processing.   Recommended: basic knowledge of probability and statistics.Prereq: ENGR 131 or EECS 132."
CSDS 392,App Development for iOS,"This course is an introduction to app development for iPhone and iPad using Cocoa Touch Framework and Xcode development environment. Topics include Swift programming language and iOS SDK/foundations, object-oriented design and model-view-controller framework, user interface design using Xcode. Additional topics may include data management, map applications, animations and some recent developments in iOS.  Recommended preparation: experiences in object-oriented programming and Mac OS; knowledge in software engineering and databases.Prereq: EECS 293 and Junior or Senior standing."
CSDS 393,Software Engineering,"Topics: Introduction to software engineering; software lifecycle models; development team organization and project management; requirements analysis and specification techniques; software design techniques; programming practices; software validation techniques; software maintenance practices; software engineering ethics. Undergraduates work in teams to complete a significant software development project. Graduate students are required to complete a research project.Offered as CSDS 393, CSDS 393N, and CSDS 493.Prereq: (Computer Science Major/Minor or Data Science Major) and (EECS 233 or DSCI 234 with a C or higher)."
CSDS 393N,Software Engineering,"Topics: Introduction to software engineering; software lifecycle models; development team organization and project management; requirements analysis and specification techniques; software design techniques; programming practices; software validation techniques; software maintenance practices; software engineering ethics. Undergraduates work in teams to complete a significant software development project. Graduate students are required to complete a research project.Offered as CSDS 393, CSDS 393N, and CSDS 493.Prereq: (Computer Science Major/Minor or Data Science Major) and (EECS 233 or DSCI 234 with a C or higher)."
CSDS 394,Introduction to Information Theory,"This course is intended as an introduction to information and coding theory with emphasis on the mathematical aspects.  It is suitable for advanced undergraduate and graduate students in mathematics, applied mathematics, statistics, physics, computer science and electrical engineering.  Course content: Information measures-entropy, relative entropy, mutual information, and their properties.  Typical sets and sequences, asymptotic equipartition property, data compression.  Channel coding and capacity: channel coding theorem.  Differential entropy, Gaussian channel, Shannon-Nyquist theorem. Information theory inequalities (400 level). Additional topics, which may include compressed sensing and elements of quantum information theory.Recommended preparation: MATH 201 or MATH 307.Offered as MATH 394, CSDS 394, ECSE 394, MATH 494, CSDS 494 and ECSE 494.Prereq: MATH 223 and MATH 380 or requisites not met permission."
CSDS 395,Senior Project in Computer Science,"Capstone course for computer science seniors.  Material from previous and concurrent courses used to solve computer programming problems and to develop software systems.  Professional engineering topics such as project management, engineering design, communications, and professional ethics.  Requirements include periodic reporting of progress, plus a final oral presentation and written report.  Scheduled formal project presentations during last week of classes. Counts as SAGES Senior Capstone.Prereq: Senior standing."
CSDS 396,Independent Projects,Independent projects in Computer and Data Science.Prereq: Limited to juniors and seniors.
CSDS 397,Special Topics,Special topics in Computer and Data Science.Prereq: Limited to juniors and seniors.
CSDS 400T,Graduate Teaching I,"This course will provide the Ph.D. candidate with experience in teaching undergraduate or graduate students.  The experience is expected to involve direct student contact but will be based upon the specific departmental needs and teaching obligations.  This teaching experience will be conducted under the supervision of the faculty member who is responsible for the course, but the academic advisor will assess the educational plan to ensure that it provides an educational experience for the student.  Students in this course may be expected to perform one or more of the following teaching related activities: grading homeworks, quizzes, and exams, having office hours for students, tutoring students. Recommended preparation: Ph.D. student in CSDS department."
CSDS 405,Data Structures and File Management,"Fundamental concepts: sequential allocation, linked allocation, lists, trees, graphs, internal sorting, external sorting, sequential, binary, interpolation search, hashing file, indexed files, multiple level index structures, btrees, hashed files. Multiple attribute retrieval; inverted files, multi lists, multiple-key hashing, hd trees. Introduction to data bases. Data models. Recommended preparation: EECS/CSDS/ECSE 233 and MATH 304.Prereq: EECS 341 or Graduate standing."
CSDS 410,Analysis of Algorithms,"This course covers fundamental topics in algorithm design and analysis in depth. Amortized analysis, NP-completeness and reductions, dynamic programming, advanced graph algorithms, string algorithms, geometric algorithms, local search heuristics.Offered as CSDS 410 and OPRE 454.Prereq: EECS 340."
CSDS 425,Computer Networks I,"An introduction to computer networks and the Internet. Applications: http, ftp, e-mail, DNS, socket programming. Transport: UDP, TCP, reliable data transfer, and congestion control. Network layer: IP, routing and NAT. Link layer: taxonomy, Ethernet, 802.11. Recommended preparation: EECS/CSDS/ECSE 338."
CSDS 427,Internet Security and Privacy,"This course introduces students to research on Internet security and privacy. Covered topics include denial of service attacks, attacks enabled by man-in-the-middle surveillance, communication hijacking, botnet and fast-flux networks, email and Web spam, threats to privacy on the Internet, and Internet censorship. The course will be based on a collection of research papers. Students will be required to attend lectures, read the materials, prepare written summaries of discussed papers, present a paper in class, complete a course project and take the final exam (in the form of the course project presentation).Prereq: EECS 325 or EECS 425 or graduate standing in Computer Science or Computer Engineering."
CSDS 428,Computer Communications Networks II,"Introduction to topics and methodology in computer networks and middleware research. Traffic characterization, stochastic models, and self-similarity. Congestion control (Tahoe, Reno, Sack). Active Queue Management (RED, FQ) and explicit QoS. The Web: overview and components, HTTP, its interaction with TCP, caching. Overlay networks and CDN. Expected work includes a course-long project on network simulation, a final project, a paper presentation, midterm, and final test. Recommended preparation: EECS/CSDS 425."
CSDS 433,Database Systems,"Basic issues in file processing and database management systems. Physical data organization. Relational databases. Database design. Relational Query Languages, SQL. Query languages. Query optimization. Database integrity and security. Object-oriented databases. Object-oriented Query Languages, OQL. Recommended preparation: MATH 304.Prereq: EECS 341 or Graduate standing."
CSDS 435,Data Mining,"Data Mining is the process of discovering interesting knowledge from large amounts of data stored either in databases, data warehouses, or other information repositories. Topics to be covered includes: Data Warehouse and OLAP technology for data mining, Data Preprocessing, Data Mining Primitives, Languages, and System Architectures, Mining Association Rules from Large Databases, Classification and Prediction, Cluster Analysis, Mining Complex Types of Data, and Applications and Trends in Data Mining.Prereq: EECS 341 or Graduate standing."
CSDS 438,High Performance Computing,"High performance computing (HPC) leverages parallel processing in order to maximize speed and throughput. This hands-on course will cover theoretical and practical aspects of HPC. Theoretical concepts covered include computer architecture, parallel programming, and performance optimization. Practical applications will be discussed from various information and scientific fields. Practical considerations will include HPC job management and Unix scripting. Weekly assessments and a course project will be required.Offered as CSDS 438 and ECSE 438.Prereq: EECS 233 or graduate standing."
CSDS 439,Web Data Mining,"Web crawling technology, web search and information extraction, unsupervised and semi-supervised learning techniques and their application to web data extraction, social network analysis, various pagerank algorithms, link analysis, web resource discovery, web, resource description framework (RDF), XML, Web Ontology Language (OWL). Recommended preparation:  EECS/CSDS/ECSE 338, EECS/CSDS 341."
CSDS 440,Machine Learning,"Machine learning is a subfield of Artificial Intelligence that is concerned with the design and analysis of algorithms that learn and improve with experience,  While the broad aim behind research in this area is to build systems that can simulate or even improve on certain aspects of human intelligence, algorithms developed in this area have become very useful in analyzing and predicting the behavior of complex systems.  Machine learning algorithms have been used to guide diagnostic systems in medicine, recommend interesting products to customers in e-commerce, play games at human championship levels, and solve many other very complex problems.  This course is focused on algorithms for machine learning: their design, analysis and implementation.  We will study different learning settings, including supervised, semi-supervised and unsupervised learning.  We will study different ways of representing the learning problem, using propositional, multiple-instance and relational representations.  We will study the different algorithms that have been developed for these settings, such as decision trees, neural networks, support vector machines, k-means, harmonic functions and Bayesian methods.  We will learn about the theoretical tradeoffs in the design of these algorithms, and how to evaluate their behavior in practice.  At the end of the course, you should be able to:   --Recognize situations where machine learning algorithms are applicable;   --Understand, represent and formulate the learning problem;   --Apply the appropriate algorithm(s), or if necessary, design your own, with an understanding of the tradeoffs involved;   --Correctly evaluate the behavior of the algorithm when solving the problem.Prereq: EECS 391 or EECS 491 or consent of instructor."
CSDS 441,Internet Applications,"This course exposes students to research in building and scaling internet applications. Covered topics include Web services, scalable content delivery, applications of peer-to-peer networks, and performance analysis and measurements of internet application platforms.  The course is based on a collection of research papers and protocol specifications.  Students are required to read the materials, present a paper in class, prepare short summaries of discussed papers, and do a course project (team projects are encouraged).Prereq: EECS 325 or EECS 425."
CSDS 442,Causal Learning from Data,"This course introduces key concepts and techniques for characterizing, from observational or experimental study data and from background information, the causal effect of a specific treatment, exposure, or intervention (e.g., a medical treatment) upon an outcome of interest (e.g., disease status). The fundamental problem of causal inference is the impossibility of observing the effects of different and incompatible treatments on the same individual or unit.  This problem is overcome by estimating an average causal effect over a study population.  Making valid causal inferences with observational data is especially challenging, because of the greater potential for biases (confounding bias, selection bias, and measurement bias) that can badly distort causal effect estimates.  Consequently, this topic has been the focus of intense cross-disciplinary research in recent years.  Causal inference techniques will be illustrated by applications in several fields such as computer science, engineering, medicine, public health, biology, genomics, neuroscience, economics, and social science.  Course grading will be based on quizzes, homeworks, a class presentation, and a causal data analysis project.Specific topics: treatments, exposures, and interventions; causal effects and causal effect measures; confounding bias; potential outcomes and counterfactuals; randomized experiments; observational studies; causal directed acyclic graphs (DAGs); exchangeability and conditional exchangeability; effect modification; causal interactions; nonparametric structural equations; Pearl's Back-Door Criterion, Front-Door Criterion, and related results; covariate adjustment; matching on covariates; selection bias; measurement bias; instrumental variables; causal modeling; inverse probability weighting; marginal structural models; standardization; structural nested models; outcome regression; propensity scores; sensitivity analysis.Prereq: EECS 440 or MATH 380 or STAT 312 or STAT 313 or STAT 332 or STAT 333 or Requisites Not Met permission."
CSDS 444,Computer Security,"General types of security attacks; approaches to prevention; secret key and public key cryptography; message authentication and hash functions; digital signatures and authentication protocols; information gathering; password cracking; spoofing; session hijacking; denial of service attacks; buffer overruns; viruses, worms, etc., principles of secure software design, threat modeling; access control; least privilege; storing secrets; socket security; firewalls; intrusions; auditing; mobile security. Recommended preparation: EECS/CSDS/ECSE 132, EECS/CSDS 293, EECS/CSDS 325 and EECS/CSDS 338.Offered as CSDS 344 and CSDS 444."
CSDS 448,Smartphone Security,"This course is designed to better prepare undergraduate and graduate students for researching and developing in the neighborhood of mobile and software security. Lectures, paper readings and presentations, in-class discussions, and projects are the main components. The course covers the basics of Android programming and a wide range of security issues and solutions concerning mobile platforms, including permission analysis, textual artifacts analysis, malware analysis, program analysis, and UI analysis. Students should expect one literature survey paper and one system-building or empirical study project on one selected security solution in mobile app security.Prereq: EECS 132 and a Graduate or Undergraduate Computer Science major."
